Linux 6.5.0-45-generic (gauss) 	26. 02. 2025 	_x86_64_	(32 CPU)

11:48:21          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
11:49:21      nvme0n1      0,80      0,00    170,40      0,00    213,00      0,00      4,75      0,24
11:49:21          sda      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:21        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:21        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:21       loop10      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:21       loop11      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:21       loop12      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:21       loop13      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:21       loop14      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00

11:49:21          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
11:49:26        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:26        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:26        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:26        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:26        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:26        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:26        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:26        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:26      nvme0n1      0,80      0,00    170,40      0,00    213,00      0,00      5,25      0,24
11:49:26          sda      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:26        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:26        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:26       loop10      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:26       loop11      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:26       loop12      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:26       loop13      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:26       loop14      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00

11:49:26          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
11:49:31        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:31        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:31        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:31        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:31        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:31        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:31        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:31        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:31      nvme0n1    191,20      0,00   1332,80      0,00      6,97      0,05      0,25      0,88
11:49:31          sda      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:31        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:31        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:31       loop10      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:31       loop11      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:31       loop12      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:31       loop13      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:31       loop14      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00

11:49:31          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
11:49:36        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:36        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:36        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:36        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:36        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:36        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:36        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:36        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:36      nvme0n1      2,00      0,00    193,60      0,00     96,80      0,01      5,40      0,48
11:49:36          sda      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:36        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:36        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:36       loop10      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:36       loop11      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:36       loop12      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:36       loop13      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:36       loop14      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00

11:49:36          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
11:49:41        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:41        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:41        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:41        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:41        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:41        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:41        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:41        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
